matiere,langue enseignement,liste études (codes),liste des n°s sciper enseignants,liste des enseignants,liste orientations/sections sans doublons,liste URL fiche sans doublons,,,,
Advanced topics in programming,fr,IN-BA3#SC-BA3,126003,Odersky Martin,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644584&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644584&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Algorithms,en,IN-BA3#MA-MA1# MA-MA3#MA-BA5#MINEUR-H#SC-BA3,156849,Shokrollahi Amin,IN#MA_CO#MA#MIN_IN_SEC#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258712&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258712&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258712&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258712&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258712&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Applications for convex optimization and linear programming ,en,IN-MA2#MA-MA2#SC-MA2# SC-MA4,161832,Fragouli Christina,IN#MA_CO#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71809458&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71809458&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71809458&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Applied probability & stochastic processes,en,MINEUR-H#MTE-MA1# MTE-MA3,107931,Lévêque Olivier,MIN_MTE#MTE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=352617902&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=352617902&ww_x_anneeacad=123455150&ww_i_section=946882&ww_i_niveau=6683147&ww_c_langue=en,,,,
Artificial intelligence,fr,IN-BA6#SC-BA6,105074,Faltings Boi,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774242&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774242&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Business plan for IT services,en,IN-MA2#SC-MA2# SC-MA4,112464,Wegmann Alain,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128917228&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128917228&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Circuits and systems II,en,EL-BA4#IN-BA4#SC-BA4,161832,Fragouli Christina,EL#IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348716744&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348716744&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348716744&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Color reproduction,en,IN-MA2#SC-MA2# SC-MA4,105390,Hersch Roger,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1770893&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1770893&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Compiler construction,en,IN-BA5#SC-BA5,177241,Kuncak Viktor,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24092156&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24092156&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Complements in programming,fr,EL-BA2,111472,Lecoultre Marc,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1308755179&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en,,,,
Computational linguistics,en,IN-MA2#SC-MA2# SC-MA4,112354#112547,Rajman Martin#Chappelier Jean-Cédric,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47891977&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47891977&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Computational molecular biology,en,IN-MA2#MA-MA2#MINEUR-E#SC-MA2# SC-MA4,172885,Zhang Xiuwei,IN#MA_CO#MIN_BIOCOMP#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47893080&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47893080&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47893080&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47893080&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Computer-aided engineering I,fr,CGC-BA1#MT-BA1#MA-BA1#PH-BA1#SIE-BA1#SV-BA1,102370#104608#112547#148204#149007,Lindelöf David#Boulic Ronan#Chappelier Jean-Cédric#Pellet Jean-Philippe#Lepetit Vincent,CGC#MT#MA#PH#SIE#SV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705560&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705560&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705560&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705560&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705560&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705560&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683111&ww_c_langue=en,,,,
Computer-aided engineering II,fr,MT-BA2#SV-BA2#MA-BA2#PH-BA2#SIE-BA2,104608#106336#112547#138121,Boulic Ronan#Sam Jamila#Chappelier Jean-Cédric#Lochmatter Thomas,MT#SV#MA#PH#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705566&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705566&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705566&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705566&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1705566&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683111&ww_c_langue=en,,,,
Computer architecture I,fr,IN-BA3#SC-BA3,101954,Ienne Paolo,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771839&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771839&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Computer architecture II,fr,IN-BA4#SC-BA4,101954,Ienne Paolo,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771844&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771844&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Computer networks,en,IN-BA3#MINEUR-H#SC-BA3,105427#186152,Hubaux Jean-Pierre#Jadliwala Murtuza,IN#MIN_IN_SEC#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=419596327&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=419596327&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=419596327&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Computer-supported cooperative work,en,IN-MA3# IN-MA1#SC-MA1# SC-MA3,155704#157873,Dillenbourg Pierre#Jermann Patrick,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1770948&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1770948&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Computer vision,en,IN-MA2#SC-MA2# SC-MA4,112366,Fua Pascal,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4650155&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4650155&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Concurrency,fr,IN-BA4#SC-BA4,106377,Schiper André,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772852&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772852&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Concurrent algorithms,en,IN-MA3# IN-MA1#SC-MA1# SC-MA3,105326,Guerraoui Rachid,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231901032&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231901032&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Cryptography and security,en,IN-MA3# IN-MA1#MINEUR-H#SC-MA1# SC-MA3,131602,Vaudenay Serge,IN#MIN_IN_SEC#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1770973&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1770973&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1770973&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Design technologies for integrated systems,en,EL-MA1# EL-MA3#IN-MA3# IN-MA1#SC-MA1# SC-MA3,167918,De Micheli Giovanni,EL#IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24164994&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24164994&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24164994&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Digital photography,en,IN-BA4#SC-BA4,125681,Süsstrunk Sabine,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773252&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773252&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Discrete structures,en,IN-BA2#MINEUR-E#SC-BA2,171548,Lenstra Arjen,IN#MIN_IN_SEC#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47848061&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47848061&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47848061&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Distributed algorithms,en,IN-MA3# IN-MA1#SC-MA1# SC-MA3,106377,Schiper André,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773287&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773287&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Distributed information systems,en,EME-MA1#IN-MA3# IN-MA1#MINEUR-H#SC-MA1# SC-MA3#SIE-MA1# SIE-MA3,134136,Aberer Karl,EME_MES#IN#MIN_BIOCOMP#SC_EPFL#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773292&ww_x_anneeacad=123455150&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773292&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773292&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773292&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773292&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,,,,
Dynamical system theory for engineers,en,GM-MA1# GM-MA3#IN-MA3# IN-MA1#MINEUR-H#SC-MA1# SC-MA3#SV-MA1# SV-MA3,103925,Thiran Patrick,GM#IN#MIN_BIOCOMP#SC_EPFL#SV_B#SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771018&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771018&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771018&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771018&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771018&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,,,,
Embedded systems,en,EL-MA1# EL-MA3#GM-MA1# GM-MA3#IN-MA3# IN-MA1#SC-MA1# SC-MA3,100366,Beuchat René,EL#GM#IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Engineering internship credited with Master project (master in Communication Systems),fr,SC-MA2# SC-MA4#SC-MA1# SC-MA3,126096,Profs divers *,SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652076110&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Enterprise and service-oriented architecture,en,IN-MA2#SC-MA2# SC-MA4,112464,Wegmann Alain,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258965&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258965&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
